id,tire,tpop,ngrw,pgrw,octy,opop,landv,eld,ffrac,pinc,lnhdd
40013,2,3.5350001,0,.83700001,8.3870001,5.8438597,1.183,.11578925,.241,7.7160001,7.2737865
40015,11,9.257,0,1.9450001,2.1600001,.58835,.090999998,.15301172,.287,6.6729999,7.2737865
40016,10,15.737,0,1.3049999,2.1600001,.58835,.090999998,.15301172,.287,6.6729999,7.2737865
40017,7,7.921,-.145,0,1.434,1.36367,.111,.060343936,1.16,4.4850001,7.3765082
40018,5,5.2849998,0,.52600002,1.434,1.36367,.111,.060343936,1.16,4.4850001,7.3765082
40027,7,2.5420001,0,.59399998,1.196,1.85603,1.347,.1100117,.078000002,5.6810002,6.8906093
50129,2,1.595,0,.198,.43700001,.63770002,.38600001,.16966203,.43099999,3.7650001,8.0557928
60049,2,3.0250001,0,.226,.229,.1084,.33899999,.13937283,.26800001,6.5630002,7.8414931
60051,3,.60000002,0,.1,.38499999,.1374,.33199999,.042555671,.057,8.5900002,7.8811822
60091,0,1.03,0,.085000001,.197,.1178,.271,.14383338,.088,7.1199999,7.9648509
80007,2,1.331,-.028999999,0,.094999999,.1469,.396,.092521831,.152,5.5500002,8.6061192
80009,2,1.6569999,-.003,0,.050999999,.080109999,.21699999,.13932461,.81300002,5.6069999,8.6061192
80023,0,.84200001,0,.061000001,.11,.54500002,.121,.13513513,.47400001,3.6800001,8.6061192
80033,0,.82599998,0,.207,.161,.052619997,.24699999,.10434258,.264,5.381,8.6452341
80051,5,5.7849998,0,1.1720001,.21699999,.43698001,.42300001,.046496399,.14300001,6.6300001,8.7555799
80055,5,3.9449999,-.384,0,.294,.080760002,.124,.18400621,.66900003,5.1589999,8.6061192
80057,1,.94700003,0,.039999999,.014,.044769999,.212,.076757915,.42199999,6.8639998,8.7769384
80061,1,.87800002,0,.082999997,.055,.047119997,.156,.14772727,.88700002,6.4520001,8.6061192
80063,2,3.1070001,0,.27900001,.064999998,.15000001,.336,.13778129,.91900003,5.9499998,8.7555799
80073,3,2.5810001,0,.0080000004,.121,.058900002,.145,.17499463,.96799999,6.3569999,8.7555799
80079,0,.61000001,-.043000001,0,.025,.017280001,.333,.079601988,.02,7.1040001,8.6061192
80113,0,1.0470001,0,.49399999,.15899999,.14119999,.27500001,.055451129,.23800001,6.3460002,8.6452341
160003,0,.917,0,.017999999,.108,.13510001,.292,.12399163,.233,5.8730001,8.6659584
160007,4,3.1070001,0,.50300002,.59899998,.3768,.338,.12047324,.51300001,5.4419999,8.8710842
160017,6,4.46,0,.31600001,.88499999,3.8787901,.73500001,.11294127,.12800001,5.3150001,8.6007986
160021,3,1.906,-.003,0,.092,.047910001,.92400002,.11304706,.103,4.9580002,8.6007986
160023,1,1.2410001,-.003,0,.107,.064400002,.493,.11041293,.13500001,5.4840002,8.9865713
160025,0,.40400001,0,.068000004,.0020000001,.027489999,.31999999,.1210269,.317,5.8610001,8.6659584
160037,1,.75800002,-.026000001,0,.088,.04163,.43200001,.11344165,.046,5.237,8.6659584
160039,5,7.54,0,1.289,.53899997,1.25322,.384,.052538835,.207,5.3239999,8.6659584
160049,2,3.6659999,0,.029999999,.47799999,.38385001,.336,.12465299,.15700001,5.8730001,8.6007986
160059,5,3.3080001,0,.398,.20999999,.095690005,.44299999,.12024128,.082000002,5.5650001,8.6659584
160081,1,.727,0,0,.17900001,.18610001,.68199998,.094580598,.55699998,4.2969999,8.9865713
200025,0,1.096,-.148,0,.104,.1123,.303,.22931896,.95099998,7.2069998,8.4736595
200039,4,2.3870001,0,.096000001,.19499999,.1319,.36199999,.21667776,.95200002,6.6810002,8.5539112
200055,9,18.256001,0,3.5480001,.44,1.9786201,.625,.081888773,.89899999,7.1329999,8.4747028
200057,9,18.000999,0,3.8740001,.639,1.60043,.48100001,.12305161,.99800003,7.006,8.4747028
200065,3,2.0280001,-.043000001,0,.15700001,.1139,.345,.17772216,.97899997,6.4790001,8.5539112
200067,4,4.6529999,0,.87400001,.36500001,1.2150799,.57999998,.073957287,1.012,7.1479998,8.4736595
200075,0,1.654,-.066,0,.063000001,.028270001,.27700001,.18217979,.898,6.2290001,8.4747028
200089,0,1.205,-.082000002,0,.233,.073830001,.45100001,.22495706,.889,5.5970001,8.5539112
200111,7,25.287001,0,1.96,1.224,2.6593502,.456,.11826365,.889,6.9590001,8.5411053
200123,2,4.3649998,0,.244,.15899999,1.0323199,.60500002,.20537144,1.021,6.1389999,8.5539112
200129,3,2.243,0,.154,.088,.13039999,.28999999,.093804285,.93199998,6.895,8.4736595
200137,1,3.4000001,-.227,0,.211,.29770002,.32100001,.21363433,.88999999,6.2319999,8.5539112
200151,7,6.8850002,0,.149,.29499999,.97719002,.56099999,.17907542,.97000003,7.1820002,8.4736595
200153,2,1.665,0,.0070000002,.108,.1728,.36899999,.18928136,.935,6.0929999,8.4747028
200171,5,4.1539998,0,.153,.061000001,.68105,.46599999,.12884815,.97500002,6.9419999,8.4747028
200181,4,5.7080002,0,.198,.15899999,.1461,.377,.13274907,.96399999,6.5539999,8.4747028
200189,1,3.165,0,.426,.204,.1453,.47,.12183277,.96200001,7.1820002,8.4736595
200193,7,5.5440001,0,.88599998,.333,.73049998,.465,.12353568,.99599999,6.7620001,8.4747028
200199,1,.98199999,-.029999999,0,.028999999,.06205,.315,.14180928,.88099998,5.3530002,8.4747028
200203,3,1.869,-.046999998,0,.067000002,.1147,.48699999,.11344952,.95899999,5.9749999,8.4747028
230003,0,6.7659998,-1.345,0,.86299998,2.20889,.37,.10438953,.096000001,4.8260002,8.9805498
230029,2,4.2620001,0,.21799999,.50700003,3.38978,.36399999,.14518204,.048999999,4.5809999,8.9805498
260003,3,3.0829999,-.59399998,0,.419,.46220002,.43000001,.1301897,.037999999,5.4699998,8.8431826
260095,4,2.1199999,-.214,0,.132,.44159999,.43900001,.1369575,.02,5.3010001,8.8315659
260153,3,3.9619999,-.36199999,0,.25799999,.28510001,.37099999,.15393586,.018999999,5.283,8.8315659
270077,1,1.17,-.377,0,.26300001,.14219999,.322,.16471839,.149,5.1750002,9.2003908
300001,2,3.9760001,-.57200003,0,.113,.058900002,.206,.12069387,.44,5.9130001,9.1708717
300009,0,1.896,0,.052000001,.58999997,.2262,.34099999,.17718236,.47099999,5.7280002,8.883502
300011,0,.62,-.043000001,0,.018999999,.027489999,.11,.15175097,.73900002,5.1020002,8.883502
300015,2,1.693,-.17,0,.252,.08247,.234,.13066317,.94400001,6.684,8.9575109
300017,4,9.6020002,0,.579,.235,.37513,.113,.13227554,.94099998,6.5139999,8.883502
300019,1,1.382,-.104,0,.044,.058119997,.25600001,.1601411,.92500001,6.006,8.883502
300025,1,2.3540001,-.23,0,.064000003,.063620001,.14399999,.10496944,.85500002,6.5890002,8.883502
300027,4,7.1040001,0,.667,.15899999,.41870999,.18799999,.16167024,.77899998,5.6389999,8.9575109
300033,0,.48500001,-.044,0,.046,.016489999,.102,.10869565,.72000003,5.4990001,8.883502
300037,0,.273,0,.012,.052999999,.034560002,.145,.14327486,.86699998,4.4749999,8.883502
300039,1,1.138,0,.0099999998,.079999998,.067539997,.23899999,.14296296,.31400001,5.8449998,8.9668665
300051,2,.963,0,.027000001,.027000001,.05184,.244,.11249463,.98500001,6.8969998,8.9575109
300055,2,.93099999,-.033,0,.085000001,.050269999,.164,.10288675,.801,4.7459998,8.883502
300057,2,.66000003,0,.15899999,.186,.05105,.241,.16391337,.48199999,5.585,9.1708717
300059,0,1.302,0,.102,.039999999,.03613,.126,.12906221,.653,5.8540001,8.9575109
